"currentRanking";"displayName";"thumbnailUrl";"userId";"userUrl";"tier";"points";"joined";"totalGoldMedals";"totalSilverMedals";"totalBronzeMedals";"orgs";"country"
66;"Guanshuo Xu";"https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png";478989;"/wowfattie";"master";48058;"2015-12-02T04:40:13.517Z";4;5;2;NA;"United States"
67;"FeiYang";"https://storage.googleapis.com/kaggle-avatars/thumbnails/687211-kg.jpg";687211;"/panfeiyang";"expert";47939;"2016-08-15T12:02:14.927Z";2;0;0;"Institute of Computing Technology, CAS";"China"
68;"Ivanhoe";"https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png";98575;"/ivanhoe";"master";47794;"2013-04-30T20:53:35.98Z";3;29;24;NA;"United States"
69;"NxGTR";"https://storage.googleapis.com/kaggle-avatars/thumbnails/263583-kg.jpg";263583;"/carloshuertas";"master";47684;"2014-11-25T21:34:19.357Z";1;15;17;"ZestFinance";"United States"
70;"Kele Xu";"https://storage.googleapis.com/kaggle-avatars/thumbnails/299743-kg.jpg";299743;"/kelexu";"master";47355;"2015-02-23T21:29:50.207Z";5;13;3;NA;"France"
71;"Dr. Knope";"https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png";719125;"/drknope";"master";47041;"2016-09-18T09:58:02.84Z";1;5;1;NA;NA
72;"Yinpeng Dong";"https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png";965568;"/yinpeng";"master";46782;"2017-03-14T03:21:03.2Z";3;0;1;"Tsinghua University";"China"
73;"Tianyu Pang";"https://storage.googleapis.com/kaggle-avatars/thumbnails/1189681-kg.jpg";1189681;"/p233333";"master";46198;"2017-07-28T08:50:52.687Z";3;0;0;"Tsinghua University";"China"
74;"neongen";"https://storage.googleapis.com/kaggle-avatars/thumbnails/595758-kg.jpg";595758;"/neongen";"master";46013;"2016-04-24T18:35:13.297Z";1;6;7;"neongen-ai";"Greece"
75;"qianqian";"https://storage.googleapis.com/kaggle-avatars/thumbnails/406384-kg.jpg";406384;"/qqgeogor";"grandmaster";45926;"2015-08-26T02:31:56.757Z";5;7;7;NA;"United States"
76;"n01z3";"https://storage.googleapis.com/kaggle-avatars/thumbnails/407384-kg.jpg";407384;"/drn01z3";"grandmaster";45334;"2015-08-27T16:48:46.157Z";5;3;2;"Dbrain.io";"Russia"
77;"ONODERA";"https://storage.googleapis.com/kaggle-avatars/thumbnails/317344-kg.jpg";317344;"/onodera";"master";44429;"2015-03-24T03:37:35.103Z";3;5;1;"DeNA";"Japan"
78;"Dmitry Larko";"https://storage.googleapis.com/kaggle-avatars/thumbnails/64274-fb.jpg";64274;"/dmitrylarko";"grandmaster";44080;"2012-10-20T07:28:36.447Z";10;12;7;"H2O.ai";"United States"
79;"Mario Filho";"https://storage.googleapis.com/kaggle-avatars/thumbnails/106249-kg.jpeg";106249;"/mariofilho";"grandmaster";43785;"2013-06-08T15:31:03.597Z";7;10;6;"UpWork";"Brazil"
80;"x0x0w1";"https://storage.googleapis.com/kaggle-avatars/thumbnails/629296-kg.jpg";629296;"/x0x0w1";"master";43741;"2016-05-31T15:04:06.307Z";1;10;1;NA;"Ukraine"
81;"Selim_Sef";"https://storage.googleapis.com/kaggle-avatars/thumbnails/534152-kg.jpg";534152;"/selimsef";"master";43644;"2016-02-20T12:55:09.263Z";2;2;0;NA;"Germany"
82;"Bishwarup B";"https://storage.googleapis.com/kaggle-avatars/thumbnails/300713-kg.jpg";300713;"/bishwarup";"grandmaster";43516;"2015-02-25T08:57:07.203Z";5;7;0;NA;"India"
83;"infzero";"https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png";1023209;"/infzero";"master";43105;"2017-04-14T07:23:08.727Z";2;3;0;NA;NA
84;"Herra Huu";"https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png";12260;"/herrahuu";"grandmaster";43004;"2011-06-16T15:28:07.877Z";5;4;2;NA;"Finland"
85;"Weimin Wang";"https://storage.googleapis.com/kaggle-avatars/thumbnails/204232-fb.jpg";204232;"/weimin";"master";42805;"2014-06-04T04:54:54.147Z";3;5;3;NA;"Singapore"
86;"Alex Shvets";"https://storage.googleapis.com/kaggle-avatars/thumbnails/869279-kg.png";869279;"/shvetsiya";"master";42685;"2017-01-15T22:14:17.06Z";3;4;4;"MIT";"United States"
87;"Luis Andre Dutra e Silva";"https://storage.googleapis.com/kaggle-avatars/thumbnails/383757-kg.jpg";383757;"/mindcool";"master";42630;"2015-07-14T02:49:32.273Z";2;6;14;"Brazilian Court of Audit";"Brazil"
88;"Abhishek";"https://storage.googleapis.com/kaggle-avatars/thumbnails/5309-kg.jpg";5309;"/abhishek";"grandmaster";42406;"2011-01-12T03:44:52Z";17;21;15;"boost.ai";"Norway"
89;"Ceshine Lee";"https://storage.googleapis.com/kaggle-avatars/thumbnails/101136-kg.jpg";101136;"/ceshine";"expert";42324;"2013-05-14T14:55:10.007Z";0;11;9;NA;NA
90;"DataGeek";"https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png";41959;"/thakurrajanand";"master";42267;"2012-05-03T04:02:47.57Z";4;20;23;"DataRobot";"India"
91;"Paweł Jankiewicz";"https://storage.googleapis.com/kaggle-avatars/thumbnails/26782-kg.png";26782;"/paweljankiewicz";"grandmaster";41849;"2011-12-13T20:59:49.83Z";9;2;3;"LogicAI";"Polska"
92;"JohnM";"https://storage.googleapis.com/kaggle-avatars/thumbnails/360751-fb.jpg";360751;"/jpmiller";"expert";41831;"2015-05-31T13:23:31.297Z";0;7;16;"Benbrook Analytics";"United States"
93;"pongba";"https://storage.googleapis.com/kaggle-avatars/thumbnails/285810-kg.jpg";285810;"/zhugds";"master";41733;"2015-01-26T15:25:05.737Z";2;6;5;NA;"United States"
94;"DeepVoltaire";"https://storage.googleapis.com/kaggle-avatars/thumbnails/305342-gr.jpg";305342;"/voltaire";"master";41719;"2015-03-06T00:01:49.51Z";1;10;7;"Audi AG";"Germany"
95;"Sangxia";"https://storage.googleapis.com/kaggle-avatars/thumbnails/584812-kg.jpg";584812;"/sangxia";"master";41395;"2016-04-12T19:58:48.83Z";3;2;1;"Sony Mobile";"Sweden"
96;"Plankton";"https://storage.googleapis.com/kaggle-avatars/thumbnails/278920-kg.jpg";278920;"/thuyenvn";"grandmaster";40758;"2015-01-07T02:56:56.78Z";5;3;4;"UCSB";NA
97;"thousandvoices";"https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png";976501;"/thousandvoices";"master";40553;"2017-03-19T22:32:22.647Z";4;1;1;NA;"Russia"
98;"Anil Thomas";"https://storage.googleapis.com/kaggle-avatars/thumbnails/7837-kg.png";7837;"/anlthms";"grandmaster";40518;"2011-04-04T21:03:45.823Z";9;6;9;NA;"United States"
99;"Pavel Ostyakov";"https://storage.googleapis.com/kaggle-avatars/thumbnails/537017-gp.jpg";537017;"/pavelost";"master";39457;"2016-02-23T21:42:02.607Z";4;2;0;"Samsung AI Center";"Russia"
100;"Chenglong Chen";"https://storage.googleapis.com/kaggle-avatars/thumbnails/102203-kg.jpg";102203;"/chenglongchen";"grandmaster";39361;"2013-05-21T07:37:54.007Z";5;10;6;"Alibaba";"China"
